Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.8877287652032869,6.133067344114291,0.0,0.8027199132365292,1.246964962798943e-07,30.662157913006205
SRCNN,0,0.906968748535355,5.833005361993452,0,0.8105808007492243,1.1859568640159149e-07,31.0978650695331
PAN,0,0.8920965633945448,6.378456648346307,0,0.7826139357718956,1.2968571044393875e-07,30.321400419478298
HAT,0,0.8814338235855975,6.434994454167876,0,0.7885719285641172,1.308352276264084e-07,30.244749043542093
CGA_nomatch,0,0.8875253980595953,7.063735025349699,0,0.8103021564181557,1.4361867543423858e-07,29.435024590018006
CGA_match,0,0.9057033787908659,5.76985528778404,0,0.8222536771524549,1.173117296876177e-07,31.192414165302544
S5Net_nomatch,0,0.9007115395194811,6.726545036775697,0,0.8126750503805602,1.3676298515779212e-07,29.859871496508205
S5Net_match,0,0.9089881715221417,5.790433212519907,0,0.815856716758307,1.1773011660093547e-07,31.161491447065238
