Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.8471152456236971,7.3385102215114975,0.0,0.789498569777964,1.3710865856555537e-07,30.646328714750197
SRCNN,0,0.8680662664504778,7.073388500964228,0,0.7958840343358675,1.3215527124802145e-07,30.965936543113383
PAN,0,0.8564905350101442,7.468217947607901,0,0.7775963491943612,1.3953204584633283e-07,30.49414711175143
HAT,0,0.8434098731502064,7.572426053776268,0,0.7686371271169858,1.414790123582169e-07,30.37378596323815
CGA_nomatch,0,0.849578246394017,8.465036534241014,0,0.7872346568238973,1.5815605196215844e-07,29.40591004793577
CGA_match,0,0.8663329776328496,7.051849255213407,0,0.8036106578160328,1.3175284391573374e-07,30.992426384872758
S5Net_nomatch,0,0.8587058865382856,8.24680983850096,0,0.7948992342879839,1.5407882530266492e-07,29.632767176914857
S5Net_match,0,0.8691109389278847,6.9791908219897225,0,0.8069044809475376,1.3039533401085247e-07,31.082385328767536
