Method,BRISQUE
GT,0
cubic,54.171347401495055
SRCNN,45.48668669887244
PAN,58.20031777592478
HAT,58.713250138208124
CGA_nomatch,55.907314268081464
CGA_match,55.584192472353095
S5Net_nomatch,46.0797087926297
S5Net_match,46.75923237094746
