Method,BRISQUE
GT,0
cubic,55.973872082125524
SRCNN,48.861606139940136
PAN,57.22349148497845
HAT,60.202423776390106
CGA_nomatch,57.35386468593636
CGA_match,55.082067769502274
S5Net_nomatch,48.80980914167747
S5Net_match,48.31605440567349
