Method,BRISQUE
GT,0
cubic,56.487538519702014
SRCNN,49.260534618458834
PAN,41.573650461171
HAT,54.55764751486146
CGA_nomatch,54.479218441176556
CGA_match,56.17291261424357
S5Net_nomatch,48.81950248963402
S5Net_match,49.39231762853649
