Method,BRISQUE
GT,0
cubic,54.6544499430982
SRCNN,41.533793230249515
PAN,38.81522513021859
HAT,51.70409057015726
CGA_nomatch,56.231373797937025
CGA_match,53.51659944232067
S5Net_nomatch,42.14359836509176
S5Net_match,41.60501590348706
