Method,BRISQUE
GT,0
cubic,55.98123250812644
SRCNN,54.13301723708027
PAN,55.31529404227936
HAT,49.834507859371385
CGA_nomatch,47.7091141526346
CGA_match,48.4165154198812
S5Net_nomatch,53.75817943866316
S5Net_match,54.035545019330584
