Method,BRISQUE
GT,0
cubic,64.49187016237137
SRCNN,51.165823898407254
PAN,59.57041141727639
HAT,51.247133016453404
CGA_nomatch,54.90426403856376
CGA_match,55.12961553385031
S5Net_nomatch,50.56251455199229
S5Net_match,50.48857603860058
