Method,BRISQUE
GT,0
cubic,57.50806977348128
SRCNN,46.6489331902706
PAN,42.0540856142106
HAT,54.40341041756159
CGA_nomatch,52.46053728614774
CGA_match,56.568407990947584
S5Net_nomatch,46.698506364342855
S5Net_match,46.4282019080341
