Method,BRISQUE
GT,0
cubic,58.275891263716034
SRCNN,51.0589624295168
PAN,40.94951363236632
HAT,55.14765075446494
CGA_nomatch,46.07418158707793
CGA_match,55.1720606942243
S5Net_nomatch,50.21483875271471
S5Net_match,49.36551706832893
