Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.9351804164931264,1.0410383820065732,0.0,0.7552075126850625,8.885786002666504e-11,40.84977798593904
SRCNN,0,0.9386044443192005,1.0013804890429119,0,0.7713163524981272,8.547285947065746e-11,41.1871303152898
PAN,0,0.9370698490163942,1.0171205448437375,0,0.7480178767381545,8.681635237095365e-11,41.051664287282186
HAT,0,0.9347432898752782,1.046473075584857,0,0.7408201742588331,8.932173844806978e-11,40.804551642278646
CGA_nomatch,0,0.9376705541472156,1.0152563910481214,0,0.7591993863445768,8.665723747192394e-11,41.067598180638214
CGA_match,0,0.937539879064543,1.0164838460220198,0,0.7600540840149113,8.676200692533206e-11,41.05710319752812
S5Net_nomatch,0,0.9386472513736451,1.001876732628726,0,0.7739538858363897,8.551521635571525e-11,41.182827006596824
S5Net_match,0,0.9386691951260607,1.0008682869183372,0,0.7737766375378458,8.542914044408028e-11,41.19157424980672
