Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.7984856524212952,5.728260702274983,0.0,0.7546378025323296,9.861869142280577e-09,28.863596827905454
SRCNN,0,0.8170938079577682,5.452060122122882,0,0.770254621319625,9.386357617918527e-09,29.292839604899502
PAN,0,0.8140692850008135,5.522916361910793,0,0.7764158646587551,9.508344901846599e-09,29.180683003718745
HAT,0,0.7814563952216101,6.0442251961394495,0,0.731771585381613,1.040583888354266e-08,28.397239592763967
CGA_nomatch,0,0.847170787205101,5.1185427461002515,0,0.7859336241184658,8.812168542043245e-09,29.841125641005046
CGA_match,0,0.8589726002592939,5.0089998351490905,0,0.7879511739929504,8.623577639950434e-09,30.029031983649897
S5Net_nomatch,0,0.8237364616638946,5.377165541137861,0,0.7688583071254275,9.257417858447233e-09,29.41298419457545
S5Net_match,0,0.8533126393669673,5.049375503445594,0,0.7750282423614898,8.693089063743368e-09,29.95929895605185
