Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.7752831837686194,4.5509554567831145,0.0,0.7727063597369964,1.1895248694590892e-08,27.087755321213432
SRCNN,0,0.8008490995894468,4.278891523309364,0,0.7851528910625375,1.1184130297535326e-08,27.623181485816314
PAN,0,0.7938440558414366,4.380767373865743,0,0.7881336118765353,1.1450412529881697e-08,27.418803176775853
HAT,0,0.7522765966302809,4.871203321620024,0,0.752820653869628,1.27323098419306e-08,26.49708187345542
CGA_nomatch,0,0.8320712527867673,4.01706119719402,0,0.8027770327048175,1.0499760416418233e-08,28.17163805793959
CGA_match,0,0.8460217820022312,3.9149175002211907,0,0.8046062057393891,1.0232778089384955e-08,28.395354726746596
S5Net_nomatch,0,0.8261639066984825,4.091053040405705,0,0.7869646451998238,1.0693159667351863e-08,28.013104814148697
S5Net_match,0,0.8479907200522315,3.9187968554338912,0,0.7983708760031829,1.0242917915069462e-08,28.386751999491292
