Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.8297510702630316,5.985004307085747,0.0,0.7853069237066064,1.297929382456576e-07,30.80292093360036
SRCNN,0,0.8488290693248427,5.7898775160048945,0,0.79365410307965,1.2556134905284008e-07,31.090822751426103
PAN,0,0.8376589619569649,6.120378717922773,0,0.770968164328532,1.3272871600692174e-07,30.608644352597704
HAT,0,0.8263502358734014,6.157331224028559,0,0.7675702831471055,1.3353008123523617e-07,30.55635995093724
CGA_nomatch,0,0.83407448711094,6.843927646465314,0,0.7859908182625194,1.484198561601294e-07,29.638102087983032
CGA_match,0,0.8487915259458092,5.778240648848917,0,0.8024296502090938,1.253089878008422e-07,31.10829777657766
S5Net_nomatch,0,0.8463244132364158,6.479251439555989,0,0.7952555457146835,1.405113578576294e-07,30.11371360146425
S5Net_match,0,0.8516022218951605,5.739625793388141,0,0.8035808303423002,1.2447157227145793e-07,31.166538707093142
