Method,Q2n,Q,ERGAS,SAM,sCC,RMSE,PSNR
GT,0,1,0,0,1,0,inf
cubic,0.0,0.8473045171628684,4.894212919791318,0.0,0.8000163671383808,1.2551669684950288e-07,30.28147853164807
SRCNN,0,0.8702667905458671,4.668183699556079,0,0.802554403553956,1.1971996475379224e-07,30.692176958496486
PAN,0,0.8547714197837144,4.981076123885019,0,0.7830512211847043,1.277443854756999e-07,30.128672135793444
HAT,0,0.840837526979375,5.092363497693189,0,0.7860113908094291,1.305984549226934e-07,29.936747785862522
CGA_nomatch,0,0.8540499742142728,5.502055912150504,0,0.8072887815143663,1.4110540250133947e-07,29.264635726651118
CGA_match,0,0.8714028877344043,4.6323788664303605,0,0.8183323074294784,1.1880171610812858e-07,30.7590542819336
S5Net_nomatch,0,0.8753105235132352,4.766846653486318,0,0.8177362312893166,1.2225026907068458e-07,30.51051209126287
S5Net_match,0,0.8731668535373664,4.667628252381243,0,0.8051471809861808,1.1970571978819665e-07,30.69321051677528
